id,title,description,availability,availability date,expiration date,link,mobile link,image link,price,sale price,sale price effective date,identifier exists,gtin,mpn,brand,product highlight,product detail,additional image link,condition,adult,color,size,size type,size system,gender,material,pattern,age group,multipack,is bundle,unit pricing measure,unit pricing base measure,energy efficiency class,min energy efficiency class,min energy efficiency class,item group id,sell on google quantity
HAN-KIN-2055516,"Hankook Kinergy 4S2 H750 205/55 R16","Hoogwaardige all-season band met uitstekende grip in alle weersomstandigheden. Professionele montage beschikbaar bij Gent Bandenservice.",in_stock,,,https://gentbandenservice.be/nl/banden/hankook-hankook-kinergy-4s2-h750-205-55-r16,,https://gentbandenservice.be/images/hankook-kinergy.jpg,99.99 EUR,,,yes,,,Hankook,"'Uitstekende vierseizoenenband', 'Optimale grip bij nat en droog weer'","Specificatie:Bandentype:All-season",,new,no,Zwart,205/55 R16,,,,Rubber,,,,no,,,,,,,,
PIR-CIN-2454018,"Pirelli Cinturato P7 245/40 ZR18","De Pirelli Cinturato P7 vermindert het rolgeluid aanzienlijk en biedt een 20% lagere rolweerstand voor een efficiënter brandstofverbruik.",in_stock,,,https://gentbandenservice.be/nl/banden/pirelli-pirelli-cinturato-p7-245-40-zr18-2,,https://gentbandenservice.be/images/pirelli-cinturato-p7.jpg,250.89 EUR,,,yes,,,Pirelli,"'Milieuvriendelijk en betrouwbaar', '20% lagere rolweerstand'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,245/40 ZR18,,,,Rubber,,,,no,,,,,,,,
WIN-CAT-2454018,"Windforce Catchfors UHP PRO 245/40 R18","Ultra High Performance zomerband met superieure stabiliteit in bochten en een uitstekende waterafvoer om aquaplaning te voorkomen.",in_stock,,,https://gentbandenservice.be/nl/banden/winforce-windforce-catchfors-uhp-pro-245-40-r18,,https://gentbandenservice.be/images/windforce-catchfors.jpg,76.67 EUR,,,yes,,,Windforce,"'Uitzonderlijke grip bij hoge snelheden', 'Snelle waterafvoer'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,245/40 R18,,,,Rubber,,,,no,,,,,,,,
WES-ALL-2256517,"Westlake All Season Elite Z-401 225/65 R17","Betrouwbare all-season band met een divergent V-profiel voor een effectieve afvoer van sneeuw, modder en water.",in_stock,,,https://gentbandenservice.be/nl/banden/westlake-westlake-all-season-elite-z-401-225-65-r17,,https://gentbandenservice.be/images/westlake-all-season.jpg,98.51 EUR,,,yes,,,Westlake,"'V-groef profiel tegen aquaplaning', 'Lange levensduur'","Specificatie:Bandentype:All-season",,new,no,Zwart,225/65 R17,,,,Rubber,,,,no,,,,,,,,
DEL-PER-2453519,"Delmax Performpro 245/35 R19","Ideale sportieve zomerband voor sedans en sportwagens. Verhoogt de controle en stabiliteit dankzij brede schouderblokken.",in_stock,,,https://gentbandenservice.be/nl/banden/delmax-delmax-performpro-245-35-r19,,https://gentbandenservice.be/images/delmax-performpro.jpg,85.00 EUR,,,yes,,,Delmax,"'Sportieve prestaties', 'Brede longitudinale groeven'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,245/35 R19,,,,Rubber,,,,no,,,,,,,,
SUP-BLU-2453519,"Superia Bluewin UHP3 245/35 ZR19","Ultra High Performance winterband speciaal ontworpen voor SUV's en crossovers. Optimale betrouwbaarheid in winterse omstandigheden.",in_stock,,,https://gentbandenservice.be/nl/banden/superia-superia-bluewin-uhp3-245-35-zr19,,https://gentbandenservice.be/images/superia-bluewin.jpg,89.50 EUR,,,yes,,,Superia,"'Perfecte wintergrip voor SUV', 'Uitgekiend lamellenprofiel'","Specificatie:Bandentype:Winterband",,new,no,Zwart,245/35 ZR19,,,,Rubber,,,,no,,,,,,,,
TRA-ICE-2453519,"Tracmax Ice-Plus S210 245/35 ZR19","Winterband met een unieke rubbersamenstelling die flexibel blijft bij extreme kou. Voorzien van 3PMSF-certificering.",in_stock,,,https://gentbandenservice.be/nl/banden/tracmax-tracmax-ice-plus-s210-245-35-zr19,,https://gentbandenservice.be/images/tracmax-ice-plus.jpg,95.00 EUR,,,yes,,,Tracmax,"'Gecertificeerde winterband (3PMSF)', 'Zaagtandontwerp voor sneeuw'","Specificatie:Bandentype:Winterband",,new,no,Zwart,245/35 ZR19,,,,Rubber,,,,no,,,,,,,,
HAN-KIN-1856515,"Hankook Kinergy 4S2 H750 185/65 R15","Compacte en veilige all-season band voor stadsauto's. Uitstekende remprestaties op natte wegen.",in_stock,,,https://gentbandenservice.be/nl/banden/hankook-185-65-r15,,https://gentbandenservice.be/images/hankook-kinergy.jpg,74.50 EUR,,,yes,,,Hankook,"'Korte remweg op nat wegdek', 'Stille rolervaring'","Specificatie:Bandentype:All-season",,new,no,Zwart,185/65 R15,,,,Rubber,,,,no,,,,,,,,
PIR-CIN-1956515,"Pirelli Cinturato P7 195/65 R15","Premium zomerband gericht op brandstofbesparing en maximaal comfort tijdens lange ritten op de snelweg.",in_stock,,,https://gentbandenservice.be/nl/banden/pirelli-195-65-r15,,https://gentbandenservice.be/images/pirelli-cinturato-p7.jpg,82.00 EUR,,,yes,,,Pirelli,"'Eco-friendly loopvlak', 'Lager brandstofverbruik'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,195/65 R15,,,,Rubber,,,,no,,,,,,,,
WIN-CAT-1955516,"Windforce Catchfors UHP PRO 195/55 R16","Betaalbare high performance zomerband met sportieve stuureigenschappen en een stabiel weggedrag.",in_stock,,,https://gentbandenservice.be/nl/banden/windforce-195-55-r16,,https://gentbandenservice.be/images/windforce-catchfors.jpg,65.00 EUR,,,yes,,,Windforce,"'Sportief stuurgedrag', 'Uitstekende prijs-kwaliteit'","Specificatie:Bandentype:Zomerband",,new,no,Zwart,195/55 R16,,,,Rubber,,,,no,,,,,,,,
