Datum,Aantal klikken,Vertoningen,CTR,Positie
2025-12-14,0,0,,
2025-12-15,0,7,0%,4.6
2025-12-16,1,12,8.33%,3.8
2025-12-17,3,8,37.5%,5.8
2025-12-18,0,10,0%,13.6
2025-12-19,0,5,0%,6.6
2025-12-20,0,12,0%,3.3
2025-12-21,2,11,18.18%,2.9
2025-12-22,2,27,7.41%,7.9
2025-12-23,1,24,4.17%,3.5
2025-12-24,0,23,0%,5.7
2025-12-25,0,16,0%,3
2025-12-26,0,17,0%,3.5
2025-12-27,1,34,2.94%,3.9
2025-12-28,0,12,0%,5.3
2025-12-29,0,28,0%,3.2
2025-12-30,0,25,0%,11
2025-12-31,0,22,0%,4.7
2026-01-01,0,17,0%,9.9
2026-01-02,1,33,3.03%,3.2
2026-01-03,2,166,1.2%,4
2026-01-04,3,174,1.72%,3.5
2026-01-05,2,133,1.5%,4.9
2026-01-06,1,119,0.84%,7.3
2026-01-07,8,100,8%,3.9
2026-01-08,2,76,2.63%,5.2
2026-01-09,4,96,4.17%,4
2026-01-10,4,163,2.45%,3.6
2026-01-11,0,123,0%,4.5
2026-01-12,0,64,0%,4.8
2026-01-13,3,59,5.08%,4.6
2026-01-14,0,58,0%,4.7
2026-01-15,1,53,1.89%,4.6
2026-01-16,2,66,3.03%,4.6
2026-01-17,1,74,1.35%,3.7
2026-01-18,4,84,4.76%,4.5
2026-01-19,3,49,6.12%,4
2026-01-20,1,55,1.82%,11.2
2026-01-21,1,54,1.85%,5.1
2026-01-22,1,46,2.17%,4
2026-01-23,0,63,0%,5.9
2026-01-24,1,105,0.95%,3.9
2026-01-25,1,139,0.72%,3.7
2026-01-26,1,42,2.38%,9.5
2026-01-27,1,56,1.79%,5.4
