Land,Aantal klikken,Vertoningen,CTR,Positie
België,57,2433,2.34%,4.6
Bulgarije,1,2,50%,10
Nederland,0,28,0%,6.75
Frankrijk,0,19,0%,4.05
Verenigde Staten,0,12,0%,28
Roemenië,0,11,0%,2.64
Duitsland,0,6,0%,7.67
Verenigd Koninkrijk,0,6,0%,13.67
India,0,4,0%,2.25
Tunesië,0,4,0%,8
Spanje,0,3,0%,3
Tsjechië,0,2,0%,2
Marokko,0,2,0%,2
Polen,0,2,0%,2
Ierland,0,2,0%,6
Puerto Rico,0,2,0%,11
Italië,0,2,0%,11.5
Koeweit,0,2,0%,12
Oostenrijk,0,1,0%,1
Bangladesh,0,1,0%,1
Iran,0,1,0%,2
Litouwen,0,1,0%,2
Luxemburg,0,1,0%,2
Letland,0,1,0%,2
Libanon,0,1,0%,4
Rwanda,0,1,0%,4
Ethiopië,0,1,0%,5
Noorwegen,0,1,0%,5
Canada,0,1,0%,6
Estland,0,1,0%,6
Aruba,0,1,0%,10
Turkije,0,1,0%,10
Portugal,0,1,0%,11
Bahrein,0,1,0%,13
Zwitserland,0,1,0%,13
Brazilië,0,1,0%,61
